Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 01, Boston, Massachusetts",01-RC-022390,"Airgas East",Closed,11/20/2009,01/11/2010,"Certific. of Representative",hINGHAM,MA,A,"Single Labor Organization",Initial,12/30/2009,16,,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL UNION NO.  25",11,,,,,4,15,N,1,N,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL UNION NO.  25","All drivers and driver helpers employed by the Employer at its 90 Research Road, Hingham, Massachusetts facility, but excluding office clerical employees, production and warehouse employees, managerial employees, guards and supervisors as defined by",,,
"Region 05, Baltimore, Maryland",05-RC-016382,"American Security Programs",Closed,11/03/2009,01/13/2010,"Certific. of Representative",Washington,DC,A,"Two Labor Organizations",Initial,12/30/2009,49,,"UNITED SECURITY AND POLICE OFFICERS OF AMERICA (USPOA)",25,"INTERNATIONAL UNION OF SECURITY, POLICE AND FIRE PROFESSIONALS OF AMERICA (SPFPA)",,,,,33,N,6,N,"UNITED SECURITY AND POLICE OFFICERS OF AMERICA (USPOA)","All full time and regular part time security officers, including sergeants and lieutenants, employed by the Employer at Federal Protective Services facilities currently located at 500 North Capitol Street NW, Washington, DC and 800 North Capitol Stre",,,
"Region 05, Baltimore, Maryland",05-RC-016390,"Direct SAT",Closed,11/20/2009,01/13/2010,"Certific. of Representative",Beltsville,MD,A,"Single Labor Organization",Initial,12/30/2009,72,,"COMMUNICATIONS WORKERS OF AMERICA LOCAL 2107",44,,,,,24,68,N,,N,"COMMUNICATIONS WORKERS OF AMERICA LOCAL 2107","All full-time and regular part-time technicians employed by the Employer at its Beltsville, Maryland facility, excluding office clerical employees, professional employees, Project Administrators, Warehouse Assistants, confidential employees, guards,",,,
"Region 09, Cincinnati, Ohio",09-RD-002191,"Waste Management of Ohio, Inc., Chillicothe Hauling Company",Closed,05/29/2009,01/07/2010,"Certification of Results",Chillicothe,OH,A,"Single Labor Organization",Rerun,12/30/2009,24,,"TEAMSTERS LOCAL UNION NO. 284",11,,,,,12,23,N,,N,,"All full-time and permanent part-time drivers and mechanics, including transfer operator and container repair/painter employed by the Employer at its facilities located at 675 Chamber Drive and 195 Seney Road in Chillicothe, Ohio, but excluding offic",,,
"Region 32, Oakland, California",32-RC-005703,AECOM,Closed,11/24/2009,01/07/2010,"Certific. of Representative",Lemoore,CA,A,"Single Labor Organization",Initial,12/30/2009,210,1,"TEAMSTERS LOCAL 517, INTERNATIONAL BROTHERHOOD OF TEAMSTERS",134,,,,,58,192,N,,N,"TEAMSTERS LOCAL 517, INTERNATIONAL BROTHERHOOD OF TEAMSTERS","All full-time and regular part-time production and maintenance employees, including all mechanics, corrosion control employees, plane captains, and painters employed by the Employer at its facilities located at Lemoore Naval Air Station, Lemoore, Cal",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-021613,"ABM Industries",Closed,11/16/2009,01/07/2010,"Certific. of Representative","King of Prussia",PA,A,"Single Labor Organization",Initial,12/29/2009,11,2,"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKE",7,,,,,,7,N,,N,"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKE","INCLUDED:  All full-time and regular part-time cleaners employed by the Employer at the Johnson & Johnson, Lititz, Pennsylvania facility.
EXCLUDED:  All other employees, professional employees, guards, and supervisors as defined in the Act.",,,
"Region 09, Cincinnati, Ohio",09-RC-018266,"American Electric Power Co., Inc.",Closed,11/13/2009,01/06/2010,"Certific. of Representative",Columbus,OH,A,"Single Labor Organization",Initial,12/29/2009,1,,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL UNION 1466, AFL-CIO",1,,,,,,1,N,,N,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL UNION 1466, AFL-CIO","All roving store attendants employed by the Employer and headquartered out of its plants in the State of Ohio and Moundsville, West Virginia, but excluding technical employees, salesmen, office clerical employees, and professional employees, guards a",,,
"Region 13, Chicago, Illinois",13-RC-021887,"University of Chicago Medical Center",Closed,11/12/2009,02/08/2010,"Certific. of Representative",Chicago,IL,A,"Single Labor Organization",Initial,12/29/2009,22,,"ILLINOIS NURSES ASSOCIATION",12,,,,,7,19,N,1,N,"ILLINOIS NURSES ASSOCIATION","All non-supervisory registered nurses, in the classification of Nurse Associate, Registered Nurse, Staff Nurse, Clinic Nurse I and II, performing nursing duties in the Electrophysiology Lab and in G.I. Procedures employed by the Employer at its facil",,,
"Region 16, Fort Worth, Texas",16-RC-010915,"All-Fair Electric, Inc.",Closed,11/20/2009,01/07/2010,"Certification of Results","Fort Worth",TX,A,"Single Labor Organization",Initial,12/29/2009,66,,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL UNION 20",5,,,,,22,27,N,,N,,"INCLUDED:  All non-supervisory General Foremen, non-supervisory Foremen, Journeyman Electricians, Apprentice Electricians, Construction Wireman, and Construction Electricians employed by the Employer in the geographical jurisdiction of IBEW Local Uni",,,
"Region 12, Tampa, Florida",24-RD-000527,"Fresenius Medical Care",Closed,11/27/2009,01/12/2010,"Certific. of Representative","Hato Rey",PR,A,"Single Labor Organization",Initial,12/29/2009,15,,"UNION GENERAL DE TRABAJADORES DE PUERTO RICO",11,,,,,4,15,N,,N,"UNION GENERAL DE TRABAJADORES DE PUERTO RICO",,,,
"Region 10, Atlanta, Georgia",10-RC-015770,"Railcrew Xpress",Closed,11/30/2009,01/12/2010,"Certific. of Representative",Birmingham,AL,A,"Single Labor Organization",Initial,12/28/2009,6,,"UNITED PROFESSIONAL & SERVICE EMPLOYEES UNION LOCAL 1222",3,,,,,,3,N,,N,"UNITED PROFESSIONAL & SERVICE EMPLOYEES UNION LOCAL 1222","Included:  All regular full-time and regular part-time drivers employed by the Employer at its Birmingham, Alabama operations.

Excluded:  All other employees, office clerical employees, guards and supervisors as defined in the Act.",,,
"Region 03, Buffalo, New York",03-RC-011948,"Cranesville Block Company",Closed,11/17/2009,01/06/2010,"Certific. of Representative",Oneonta,NY,A,"Single Labor Organization",Initial,12/23/2009,5,,"TEAMSTERS LOCAL UNION #693",4,,,,,,4,N,1,N,"TEAMSTERS LOCAL UNION #693","All full-time and regular part-time drivers and yardmen employed by the Employer at its Oneonta, New York facility; excluding all guards, and professional employees and supervisors as defined in the Act.",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-021615,"Atlantic Aviation",Closed,11/18/2009,01/04/2010,"Certific. of Representative",Philadelphia,PA,A,"Single Labor Organization",Initial,12/23/2009,17,,"INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS DISTRICT LODGE 98, AFL-CIO",11,,,,,4,15,N,,N,"INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS DISTRICT LODGE 98, AFL-CIO","INCLUDED:  All full-time and regular part-time customer service representatives, line service technicians and GSE mechanics employed by the Employer at its operation at Northeast Philadelphia Airport.
EXCLUDED:  All other employees, including office",,,
"Region 05, Baltimore, Maryland",05-RD-001473,"Chesapeake Shores",Closed,11/23/2009,01/13/2010,"Certific. of Representative","Lexington Park",MD,A,"Single Labor Organization",Initial,12/23/2009,64,,"UNITED FOOD AND COMMERCIAL WORKERS, LOCAL 400",37,,,,,17,54,N,10,N,"UNITED FOOD AND COMMERCIAL WORKERS, LOCAL 400","All full time and regular part time hourly employees employed by the Employer at its LP Lexington Park, LLC d/b/a Chesapeake Shores, Lexington Park, Maryland facility; but excluding Registered Nurses, Licensed Practitioner Nurses, Licensed Certified",,,
"Region 18, Minneapolis, Minnesota",18-RC-017669,"North Memorial Medical Center",Closed,11/20/2009,12/30/2009,"Certific. of Representative",Robbinsdale,MN,A,"Single Labor Organization",Initial,12/23/2009,22,,"PROFESSIONAL GUARDS LOCAL NO. 112",14,,,,,2,16,N,4,N,"PROFESSIONAL GUARDS LOCAL NO. 112","All Security Officers regularly scheduled to work a defined number of hours per pay period (i.e., those with an authorized FTE (full time equivalent) status) who are employed by the Employer at its facility located at 3300 Oakdale Avenue North, Robbi",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-021610,"Time Critical Freight, Inc.",Closed,11/09/2009,01/04/2010,"Certific. of Representative",Montgomeryville,PA,A,"Single Labor Organization",Initial,12/23/2009,11,,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 463",6,,,,,5,11,N,,N,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 463","INCLUDED:  All full-time and regular part-time drivers employed by the Employer at its 106 Park Drive, Montgomeryville, Pennsylvania facility.
EXCLUDED:  All other employees, office clerical employees, managers, guards and supervisors as defined in",,,
"Region 05, Baltimore, Maryland",05-RC-016379,"DTM Corporation, Incorporated",Closed,10/21/2009,01/13/2010,"Certific. of Representative",Washington,DC,A,"Single Labor Organization",Initial,12/23/2009,16,,"United Security & Police Officers of America (USPOA)",6,,,,,,6,N,,N,"United Security & Police Officers of America (USPOA)","All full time and regular part time security officers employed by the Employer at the United States Department of Treasury facility in Washington, D.C.; but excluding all captains, professional employees, office clerical employees, managers, and supe",,,
"Region 01, Boston, Massachusetts",34-RC-002355,"Durham School Services",Closed,11/19/2009,12/31/2009,"Certification of Results",Stratford,CT,A,"Single Labor Organization",Initial,12/23/2009,88,,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 191",33,,,,,48,81,N,3,N,,"All full-time and regular part-time school bus drivers and monitors employed by the Employer at its Stratford, Connecticut terminal; but excluding all clerical employees, dispatchers, mechanics, safety personnel and safety supervisor, and all guards,",,,
"Region 06, Pittsburgh, Pennsylvania",06-RC-012695,"Mon River Towing Inc.",Closed,09/21/2009,01/04/2010,"Certification of Results",Canonsburg,PA,A,"Single Labor Organization",Initial,12/22/2009,71,,"UNITED MINE WORKERS OF AMERICA, REGION 1, AFL-CIO, CLC",8,,,,,28,36,N,15,N,,"All full-time and regular part-time deckhands and engineers employed by the Employer on its towboats and barges operating on the Monongahela, Allegheny and Ohio Rivers; exclduing all salesperson, office clerical employees and guards, professional emp",,,
"Region 06, Pittsburgh, Pennsylvania",06-RC-012705,"Tri-Lite Windows, Inc.",Closed,10/30/2009,01/04/2010,"Certific. of Representative",Pittsburgh,PA,A,"Single Labor Organization",Initial,12/22/2009,9,,"INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES, DISTRICT COUNCIL #57 OF WESTERN PENNSYLVANIA, AFL",9,,,,,,9,N,,N,"INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES, DISTRICT COUNCIL #57 OF WESTERN PENNSYLVANIA, AFL","All full-time and regular part-time glaziers employed by the Employer on its projects located in the Counties of Allegheny, Armstrong, Beaver, Bedford, Blair, Butler, Cambria, Cameron, Centre, Clarion, Clearfield, Crawford, Elk, Erie, Fayette, Forest",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-021614,"Compass Group, North America",Closed,11/17/2009,12/31/2009,"Certific. of Representative",Charlotte,NC,A,"Two Labor Organizations",Initial,12/22/2009,29,,"POTTSGROVE FOOD SERVICE ESP/PSEA/NEA",7,"Teamsters Local 384",,,,,25,N,,N,"Teamsters Local 384","INCLUDED:   All full-time and regular part-time food service employees, including head cooks, assistant cooks/bakers, sandwich/salad employees, helpers, and drivers employed by the Employer who provide services at the following schools in the Pottsgr",,,
"Region 18, Minneapolis, Minnesota",18-RC-017672,"First Student, Inc.",Closed,12/01/2009,12/29/2009,"Certific. of Representative","White Bear Lake",MN,A,"Single Labor Organization",Initial,12/22/2009,67,,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 120",40,,,,,15,55,N,6,N,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 120","All full-time and regular part-time drivers and aides employed by the Employer at its White Bear Lake, Minnesota facility; excluding dispatchers, mechanics, lot techs in charge, office clerical employees managerial employees and guards and supervisor",,,
"Region 25, Indianapolis, Indiana",25-RC-010475,Sertech/Solartech,Closed,10/15/2009,05/06/2010,"Certification of Results",Portland,IN,A,"Single Labor Organization",Initial,12/22/2009,3,,"INTERNATIONAL SHEET METAL WORKERS LOCAL  UNION NO. 20",1,,,,,1,2,N,1,Y,,"All full-time and regular part-time installation and service technicians employed by Sertech Heating and Air Conditioning, Inc. and Solartech, Inc. at its Portland, Indiana facility;

BUT EXCLUDING office clerical employees, professional employees,",,,
"Region 29, Brooklyn, New York",29-RC-011828,"Catholic Charities Neighborhood Services, Inc., Garfield Manor",Closed,11/12/2009,01/12/2010,"Certification of Results",Brooklyn,NY,A,"Single Labor Organization",Initial,12/22/2009,14,,"LOCAL 888 UNITED FOOD & COMMERCIAL WOKERS UNION",5,,,,,9,14,N,,N,,"Included:  All full-time and regular part-time medical coordinators and residential counselors employed by the Employer at its facility located at 305 Garfield Place, Brooklyn, New York.

Excluded:  All maintenance workers, relief workers, nurses,",,,
"Region 32, Oakland, California",32-RC-005704,"Kindred Nursing Centers West LLC, a subsidiary of Kindred Healthcare, Inc., d/b/a Valley gardens Hea",Closed,12/04/2009,12/30/2009,"Certific. of Representative",Stockton,CA,A,"Single Labor Organization",Initial,12/22/2009,87,,"SEIU, SERVICE EMPLOYEES INTERNATIONAL UNION",62,,,,,6,68,N,,N,"SEIU, SERVICE EMPLOYEES INTERNATIONAL UNION","All full-time, regular part-time and per diem Certified Nurse Assistants (CNAs), Restorative Nurse Assistants (RNAs), Dietary employees, including dietary aides, Housekeeping employees, Laundry and Janitorial employees employed by the Employer at its",,,
"Region 20, San Francisco, California",20-RC-018279,"Kindred Health Care-Canyonwood Nursing & Rehab Center",Closed,12/04/2009,01/05/2010,"Certific. of Representative",Redding,CA,A,"Single Labor Organization",Initial,12/22/2009,78,,"SEIU-UNITED LONG TERM CARE WORKERS LOCAL 6434",35,,,,,9,44,N,2,N,"SEIU-UNITED LONG TERM CARE WORKERS LOCAL 6434","Including:  All full-time, regular part-time and per diem  CNAs, RNAs, Dietary Employees, Housekeeping/Janitorial Employees, and Laundry Employees employed by the Employer at its facility located at 2120 Benton Drive, Redding, California;

Excludin",,,
"Region 32, Oakland, California",32-RD-001581,"O'Connor Woods Housing Corporation d/b/a O'Connor Woods",Closed,08/14/2009,01/19/2010,"Certific. of Representative",Stockton,CA,A,"Single Labor Organization",Rerun,12/22/2009,189,,"Service Employees International Union - UHW",91,,,,,90,181,N,,N,"Service Employees International Union - UHW","All full-time and regular part-time (including per diem)* Certified Nurse Assistants (CNAs), Nurse Assistants (NAs), Routine Aid/Restorative Nurse Assistants, Supply/Storeroom Clerks, Cooks, Lead Cook, Dietary Aides, Dining Service Coordinator, Hosts",,,
"Region 13, Chicago, Illinois",13-RC-021872,"University of Chicago",Closed,10/01/2009,01/06/2010,"Certification of Results",Chicago,IL,A,"Single Labor Organization",Initial,12/22/2009,2,,"ILLINOIS COUNCIL OF POLICE",1,,,,,1,2,N,,N,,"All community services sergeants employed by the Employer out of its facility on the University of Chicago campus in Hyde Park, Chicago, Illinois; but excluding all other sergeants, office clerical employees, and guards, professional employees and su",,,
"Region 06, Pittsburgh, Pennsylvania",06-RC-012711,"Consolidated Container Company",Closed,11/19/2009,01/05/2010,"Certification of Results",Verona,PA,A,"Single Labor Organization",Initial,12/22/2009,51,,"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRAL AND SERVICE WORKER",22,,,,,27,49,N,2,N,,"All full-time and regular part-time production andmaintenance employees, including packers, tenders, blow mold technicians, material handlers, process technicians, maintenance mechanics, warehouse employees and quality inspectors, and local drivers e",,,
"Region 03, Buffalo, New York",03-RC-011947,"Cranesville d/b/a Roch. Concrete & Block",Closed,11/16/2009,12/31/2009,"Certification of Results",Rochester,NY,A,"Single Labor Organization",Initial,12/21/2009,7,,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 118",3,,,,,4,7,N,,N,,"All full-time and regular part-time drivers and mechanics employed by the Employer at its Rochester, New York facility; excluding all blockmen, yardmen, guards, and professional employees and supervisors as defined in the Act.",,,
